,Time Frame,Date,Ta (C),Tm (C),I3 (W/m2),I15 (W/m2),P (kW),year,month,day,hour,day_of_week,day_of_year,day_part,is_year_start,is_quarter_start,is_month_start,is_month_end,is_weekend,Ta (F),Tm (F),notes,note
5260,21,2012-10-13 21:46:00,19.05,17.85,211.51,301.73,213.98,2012,10,13,21,5,287,night,False,False,False,False,1,66.28999999999999,64.13,P troppo elevata,
5284,21,2012-10-14 21:46:00,19.93,17.92,222.93,278.65,202.28,2012,10,14,21,6,288,night,False,False,False,False,1,67.874,64.256,"I3,I15,P troppo elevati",
5614,21,2012-10-28 21:47:00,18.68,16.73,132.81,136.0,103.8,2012,10,28,21,6,302,night,False,False,False,False,1,65.624,62.114000000000004,"I3,I15,P troppo elevati",
5638,21,2012-10-29 21:47:00,12.18,9.06,384.81,513.61,353.22,2012,10,29,21,0,303,night,False,False,False,False,0,53.924,48.308,"I3,I15,P troppo elevati",
5569,21,2012-10-26 21:46:00,18.06,15.1,319.25,351.34,258.82,2012,10,26,21,4,300,night,False,False,False,False,0,64.508,59.18,"I3,I15,P troppo elevati",
2853,21,2012-07-04 21:51:00,36.0,45.59,462.39,421.33,328.46,2012,7,4,21,2,186,night,False,False,False,False,0,96.8,114.06200000000001,"I3,I15,P troppo elevati",
5593,21,2012-10-27 21:48:00,22.71,21.22,398.81,444.06,329.88,2012,10,27,21,5,301,night,False,False,False,False,1,72.878,70.196,"I3,I15,P troppo elevati",
5356,21,2012-10-17 21:42:00,14.49,9.81,209.72,251.71,184.78,2012,10,17,21,2,291,night,False,False,False,False,0,58.082,49.658,"I3,I15,P troppo elevati",
5755,21,2012-11-03 21:40:00,22.68,28.7,189.19,214.12,164.23,2012,11,3,21,5,308,night,False,False,False,False,1,72.824,83.66,"I3,I15,P troppo elevati",
5449,21,2012-10-21 21:55:00,15.49,12.46,310.63,339.07,257.48,2012,10,21,21,6,295,night,False,False,False,False,1,59.882000000000005,54.428,"I3,I15,P troppo elevati",
5473,21,2012-10-22 21:43:00,15.76,12.92,277.93,406.95,244.18,2012,10,22,21,0,296,night,False,False,False,False,0,60.367999999999995,55.256,"I3,I15,P troppo elevati",
5404,21,2012-10-19 21:42:00,15.07,10.85,204.08,295.38,192.73,2012,10,19,21,4,293,night,False,False,False,False,0,59.126000000000005,51.53,"I3,I15,P troppo elevati",
5428,21,2012-10-20 21:42:00,15.19,12.13,157.65,164.67,141.58,2012,10,20,21,5,294,night,False,False,False,False,1,59.342,53.834,"I3,I15,P troppo elevati",
